# MLP_complex history | L=6 (N=36) | J1=1.0 | J2=0.4
# n_samples=10000 | n_iter=800 | diag_shift=0.01 | seed=1234
iter,energy_mean,energy_sigma,energy_per_site_mean,energy_per_site_sigma
0,91.423712704197,0.265044457520,2.539547575117,0.007362346042
1,91.095254286137,0.287060923033,2.530423730170,0.007973914529
2,90.940127097586,0.265941413591,2.526114641600,0.007387261489
3,90.335896586991,0.284796665262,2.509330460750,0.007911018480
4,90.023020648886,0.284222217573,2.500639462469,0.007895061599
5,89.929668622420,0.276169212273,2.498046350623,0.007671367008
6,89.812161988140,0.297013396679,2.494782277448,0.008250372130
7,89.413647170015,0.288359251901,2.483712421389,0.008009979219
8,89.230977434774,0.283278036593,2.478638262077,0.007868834350
9,88.769080607778,0.287165681850,2.465807794661,0.007976824496
10,88.276582744792,0.305788832961,2.452127298466,0.008494134249
11,88.592479555611,0.310178768725,2.460902209878,0.008616076909
12,87.440791664055,0.330450399172,2.428910879557,0.009179177755
13,87.552177852374,0.309839131787,2.432004940344,0.008606642550
14,87.082467113448,0.315712846854,2.418957419818,0.008769801302
15,86.841643465436,0.337258008809,2.412267874040,0.009368278022
16,86.678130311273,0.328266777663,2.407725841980,0.009118521602
17,86.122363333706,0.340201545544,2.392287870381,0.009450042932
18,86.265625510501,0.330935902067,2.396267375292,0.009192663946
19,85.135897403408,0.375170039923,2.364886038984,0.010421389998
20,85.049743053228,0.367741616879,2.362492862590,0.010215044913
21,84.904818068908,0.364349976762,2.358467168581,0.010120832688
22,84.443962050512,0.356090057491,2.345665612514,0.009891390486
23,84.151750162763,0.369865737975,2.337548615632,0.010274048277
24,83.148065527536,0.362091100553,2.309668486876,0.010058086126
25,83.265166601764,0.344232707535,2.312921294493,0.009562019654
26,82.691874152456,0.374203187135,2.296996504235,0.010394532976
27,82.393495259873,0.364130240386,2.288708201663,0.010114728900
28,82.299470783529,0.359489158660,2.286096410654,0.009985809963
29,82.501388618897,0.380146536537,2.291705239414,0.010559626015
30,81.339827562797,0.393973158908,2.259439654522,0.010943698859
31,80.831058095160,0.375392393478,2.245307169310,0.010427566485
32,81.078456342912,0.402849831524,2.252179342859,0.011190273098
33,80.243994531121,0.406130505953,2.228999848087,0.011281402943
34,79.625912344624,0.415661342389,2.211830898462,0.011546148400
35,79.666095095558,0.401469407222,2.212947085988,0.011151927978
